M.Sc. (Clinical Psychology)   (2 Years )
M.Sc. (Clinical Research)   (2 Years )
M.Sc. (Cyber Forensic and Cyber Security)   (2 Years )
M.Sc. (Cyber Security)   (2 Years )
M.Sc. (Data Science)   (2 Years )
M.Sc. (Data Sciences)   (2 Years )
M.Sc. (Dietetics & Applied Nutrition)   (2 Years )
M.Sc. (Economics)   (2 Years )
M.Sc. (Environmental Health Safety & Management)   (2 Years )
M.Sc. (Environmental Sciences)   (2 Years )
M.Sc. - Environmental Sciences and Management   (2 Years )
M.Sc. (Foods & Nutrition)   (2 Years )
M.Sc. (Food Technology)   (2 Years )
M.Sc. (Forensic Sciences)   (2 Years )
M.Sc. (Forensic Sciences) (1Yr)   (1 Years )
M.Sc (Forestry)   (2 Years )
M.Sc. (Genome Engineering)   (2 Years )
M.Sc. (Geographic Information System & Remote Sensing)   (2 Years )
M.Sc. (Geography)   (2 Years )
M.Sc. (Graphics & Animation)   (2 Years )
M.Sc. (Healthcare Informatics)   (2 Years )
M.Sc. (Hons) - Chemistry   (2 Years )
M.Sc. (Hons) - Food Science Technology and Processing   (2 Years )
M.Sc. (Hons) - Microbiology   (2 Years )
M.Sc. - Horticulture (Post Harvest Technology)   (2 Years )
M.Sc. (Immunology)   (2 Years )
M.Sc. (Industrial Microbiology)   (2 Years )
M.Sc. (Information Technology)    (2 Years )
M.Sc. (Marine Science)   (2 Years )
M.Sc. (Medical Lab Technology)   (2 Years )
M.Sc. (Medical Microbiology)   (2 Years )
M.Sc. (Medical Physics)   (3 Years )
M.Sc. (Medical Physiology)   (2 Years )
M.Sc. (Microbiology)   (2 Years )
M.Sc. (Microbiology) (1Yr)   (1 Years )
M.Sc. (Molecular Cancer Biology)   (2 Years )
M.Sc. (Molecular Chemistry)   (2 Years )
M.Sc. (Molecular Medicine)   (2 Years )
M.Sc. (Molecular Medicine & Stem Cell Technologies)   (2 Years )
M.Sc. (Nanomedicine)   (2 Years )
M.Sc. (Nanoscience by Research)   (2 Years )
M.Sc. (Neurosciences)   (2 Years )
M.Sc. (Neurosciences) (1Yr)   (1 Years )
M.Sc. (Nursing)   (2 Years )
M.Sc. (Operations Research)   (2 Years )
M.Sc. Physics (Radiation Technology)   (2 Years )
M.Sc. Physics (with specialization in Astrophysics / Quantum Materials / Photonics and Quantum Optics / Material Sciences / Nuclear Physics)   (2 Years )
M.Sc. (Plant Molecular Biology)   (2 Years )
M.Sc. (Psychology)   (2 Years )
M.Sc. Quantum Technology (Quantum Communication/Sensors/Material & Device)   (2 Years )
M.Sc. (Renewable Energy)   (2 Years )
M.Sc. (Renewable Energy) Part Time   (3 Years )
M.Sc - Statistics   (2 Years )
M.Sc. (Stem Cell and Regenerative Biology)   (2 Years )
M.Sc. (Virology)   (2 Years )
M.Sc. (Wildlife Science)   (2 Years )
M.Sc. (Yoga)   (2 Years )
M.Tech (Aerospace Engineering)   (2 Years )
M.Tech (Artificial Intelligence)   (2 Years )
M.Tech (Automobile Engg.)   (2 Years )
M.Tech (Avionics)   (2 Years )
M.Tech (Biotechnology)   (2 Years )
M.Tech (Civil Engineering)   (2 Years )
M.Tech (Computer Network and Information Security)   (2 Years )
M.Tech(Computer Science Engg. - International)   (2 Years )
M.Tech (Computer Science & Engineering)   (2 Years )
M.Tech Computer Science & Engineering (Artificial Intelligence & Machine Learning)   (2 Years )
M.Tech (Computer Science & Engineering) Weekend   (3 Years )
M.Tech. (Cyber Security)   (2 Years )
M.Tech (Data Science)   (2 Years )
M.Tech. (Defence Technology)   (2 Years )
M.Tech. (Electric Vehicle Technology)   (2 Years )
M.Tech. (Electric Vehicle Technology) for Working Professionals   (3 Years )
M.Tech (Electronics & Communication Engg.)   (2 Years )
M.Tech (Embedded Systems Technology)   (2 Years )
M.Tech (Environmental Biotechnology)   (2 Years )
M.Tech (Environmental Engineering)   (2 Years )
M.Tech (Food Biotechnology)   (2 Years )
M.Tech (Food Technology)   (2 Years )
M.Tech (Geo Informatics & Remote Sensing)   (2 Years )
M.Tech (Mechanical Engineering)   (2 Years )
M.Tech (Mechatronics)   (2 Years )
M.Tech (Nanotechnology)   (2 Years )
M.Tech  (Network & Cyber Security)   (2 Years )
M.Tech. - Nuclear Science & Technology   (2 Years )
M.Tech (Project Management)   (2 Years )
M.Tech (Semiconductor Technology and Instrumentation)   (2 Years )
M.Tech (Solar and Alternative Energy)   (2 Years )
M.Tech (Structural Engineering)   (2 Years )
M.Tech. (Structural Engineering) - Weekend   (3 Years )
M.Tech (Telecommunication Systems Engg)   (2 Years )
M.Tech (Telecommunication Systems Engg) Weekend   (3 Years )
M.Tech (Thermal & Fluid Engineering)   (2 Years )
M.Tech (Urban & Regional)   (2 Years )
M.Tech (VLSI)   (2 Years )
M.Tech (VLSI Design)   (2 Years )
M.Tech. (Water Technology and Management)   (2 Years )
PG Diploma in Acting   (1 Years )
PG Diploma in Business Analytics (for Working Professionals)   (1 Years )
PG Diploma in Climate Change and Mitigation   (1 Years )
PG Diploma in Clinical Virology and Immunology   (1 Years )
PG Diploma in Counselling Psychology   (1 Years )
PG Diploma in Data Science   (1.0 Years )
PG Diploma in Disaster Management   (1 Years )
PG Diploma in Environmental Impact Assessment and Auditing   (1 Years )
PG Diploma in Facilities Management   (1 Years )
PG Diploma in Geopolitical Risk Analysis   (1 Years )
PG Diploma in Industrial Safety   (1 Years )
PG Diploma in Journalism & Mass Communication   (1 Years )
PG Diploma in Luxury Brand Management   (1 Years )
PG Diploma in Peace and Conflict Studies   (1 Years )
PG Diploma in Plant Protection   (1 Years )
PG Diploma in Psycho-Oncology   (1 Years )
PG Diploma in Rehabilitation Psychology   (1 Years )
PG Diploma in Yoga Therapy   (1.5 Years )
Post Graduate Diploma-Block-chain Technology & Management   (1 Years )
Post Graduate Diploma (Cosmetic Microbiology)   (1 Years )
Post Graduate Diploma-Digital Marketing Strategy   (1 Years )
Post Graduate Diploma in Cyber Security   (1 Years )
Post Graduate Diploma in Data Science   (1 Years )
Post Graduate Diploma in Guidance & Counselling Psychology   (1 Years )
Post Graduate Diploma in Machine Learning &Artificial Intelligence   (1 Years )
Post Graduate Diploma in Media Law Entertainment and Ethics   (1 Years )
Post Graduate Diploma in Recombinant DNA Technology and Genome Engineering   (1 Years )
Post Graduate Diploma (Microbial Fermentation Technology)   (1 Years )
Professional Certificate Course in Data Analytics   (1 Years )
Professional Diploma in Clinical Psychology   (1 Years )
Psy. D. (Clinical Psychology)   (4 Years )
Psy. D. (Clinical Psychology) - L   (2 Years )
