"BBA (Banking, Financial Services and Insurance)   (3 Years )"
"BBA (Banking, Financial Services and Insurance) (Honours/Honours with Research)   (4 Years )"
BBA (Banking & Finance) (Honours/Honours with Research)   (4 Years )
BBA (Business Analytics)   (3 Years )
BBA (Business Analytics) (Honours/Honours with Research)   (4 Years )
BBA (Business Development)   (3 Years )
BBA (Business Development) (Honours/Honours with Research)   (4 Years )
BBA (Business Intelligence & Data Analytics)   (3 Years )
BBA (Business Intelligence & Data Analytics) (Honours/Honours with Research)   (4 Years )
BBA (CMA) Certified Management Accounting USA   (3 Years )
BBA (Digital Marketing)   (3 Years )
BBA (Digital Marketing) (Honours/Honours with Research)   (4 Years )
"BBA (Dubai, USA & UK)   (3 Years )"
BBA (Family Business & Entrepreneurship)   (3 Years )
BBA (Family Business & Entrepreneurship) (Honours/Honours with Research)   (4 Years )
BBA (Fashion Business Management) (Honours/Honours with Research)   (4 Years )
BBA - Finance   (3 Years )
BBA (Financial Services and Markets)   (3 Years )
BBA (Financial Services & Markets) (Honours/Honours with Research)   (4 Years )
BBA (Healthcare Management)   (3 Years )
BBA (Healthcare Management) (Honours/Honours with Research)   (4 Years )
BBA (Honours/Honours with Research)   (4 Years )
BBA (Hospitality Services & Events Management)   (3 Years )
BBA (Hospitality Services & Events Management) (Honours/Honours with Research)   (4 Years )
BBA(International)   (3 Years )
BBA (International Business)   (3 Years )
BBA (International Business Artificial Intelligence) - 3 Continent   (3 Years )
BBA (International Business Artificial Intelligence) - International   (3 Years )
BBA (International Business) (Honours/Honours with Research)   (4 Years )
BBA (International Business with Artificial Intelligence)   (3 Years )
BBA (International Business with Artificial Intelligence) (Honours/Honours with Research)   (4 Years )
BBA LL.B. (Hons)   (5 Years )
BBA (Marketing & Sales)   (3 Years )
BBA (Marketing & Sales) (Honours/Honours with Research)   (4 Years )
BBA (Real Estate and Urban Infrastructure)   (3 Years )
BBA (Real Estate and Urban Infrastructure) (Honours/Honours with Research)   (4 Years )
BBA (Sports Management)   (3 Years )
BBA (Tourism Management)   (3 Years )
BBA (Tourism Management) (Honours/Honours with Research)   (4 Years )
BBA (Twinning Programme for International Degree)   (3 Years )
BCA   (3 Years )
BCA (Data Science & Artificial Intelligence)   (3 Years )
BCA (Honours/Honours with Research)   (4 Years )
BCA + MCA (Dual Degree)   (5 Years )
"B.Com., LL.B. (Hons)   (5 Years )"
B.Com. (3 Continent)   (3 Years )
B.Com. (Corporate Secretaryship) (Honours/Honours with Research)   (4 Years )
B.Com. (Finance & Accounting) (Honours/Honours with Research)   (4 Years )
